"microsample"	"D300430.bin_000010"	"D300435.bin_000001"	"D300442.bin_000015"	"D300443.bin_000003"	"D300444.bin_000010"	"D300452.bin_000016"	"D300479.bin_000001"	"D300479.bin_000005"	"D300481.bin_000002"	"D300492.bin_000003"	"D300493.bin_000002"	"D300499.bin_000015"	"D300509.bin_000001"	"D300511.bin_000002"	"GPB.bin_000001"	"GPB.bin_000004"	"GPB.bin_000005"	"GPB.bin_000010"	"GPB.bin_000014"	"GPB.bin_000015"	"GPB.bin_000019"	"GPB.bin_000021"	"GPB.bin_000022"	"GPB.bin_000023"	"GPB.bin_000026"	"GPB.bin_000027"	"GPB.bin_000031"	"GPB.bin_000032"	"GPB.bin_000033"	"GPB.bin_000034"	"GPB.bin_000038"	"GPB.bin_000053"	"GPB.bin_000054"	"GPB.bin_000056"	"GPB.bin_000059"	"GPB.bin_000060"	"GPB.bin_000065"	"GPB.bin_000067"	"GPB.bin_000070"	"GPB.bin_000071"	"GPB.bin_000074"	"GPB.bin_000075"	"GPB.bin_000078"	"GPB.bin_000085"	"GPB.bin_000086"	"GPB.bin_000087"	"GPB.bin_000088"	"GPB.bin_000089"	"GPB.bin_000092"	"GPB.bin_000093"	"GPB.bin_000104"	"GPB.bin_000111"	"GPB.bin_000112"	"GPB.bin_000115"	"GPB.bin_000116"	"GPB.bin_000123"	"GPB.bin_000124"	"GPB.bin_000126"	"GPB.bin_000130"	"GPB.bin_000131"	"GPB.bin_000135"	"GPB.bin_000136"	"GPB.bin_000137"	"GPB.bin_000140"	"GPB.bin_000141"	"GPB.bin_000143"	"GPB.bin_000146"	"GPB.bin_000147"	"GPB.bin_000152"	"GPB.bin_000156"	"GPB.bin_000166"	"GPB.bin_000171"	"GPB.bin_000173"	"GPB.bin_000181"	"GPB.bin_000184"	"GPB.bin_000186"	"GPB.bin_000194"	"GPB.bin_000197"	"GPB.bin_000199"	"GPB.bin_000208"	"GPB.bin_000209"	"GPB.bin_000210"	"GPB.bin_000215"	"GPB.bin_000217"	"TG1.bin_000047"	"TG2_28.bin_000031"	"TG3_28.bin_000041"	"TG5.bin_000031"	"TG5.bin_000047"	"TG5_28.bin_000003"	"TG5_28.bin_000004"	"TG5_35.bin_000001"	"TG5_35.bin_000022"	"TG5_35.bin_000024"
"M300704"	-0.241507727864569	-1.26073780308354	1.07964667133525	1.39960796660916	1.04022119269897	2.23711988383846	3.44169405921399	0.944889681358581	0.0157434972112531	-0.472185413835909	2.67573682140178	2.34927079661577	-1.36820142236586	3.41756221152066	-0.617409952891702	1.55833285877288	-1.89697184909834	0.642994029489611	-2.42306849883083	0.723434724752029	-1.72623482849405	-0.946588852047524	-0.173634846305956	0.0910764235413959	-1.92161569293927	-3.14393572787154	-2.02946632895786	-2.44462443264135	-2.77955812687484	1.50243819006057	-0.8386911541894	2.19697031710568	0.727848160915977	-0.962273566964803	0.693497516934745	1.38143171619259	-0.628818521929721	-0.0943822115944677	2.23755725466689	-3.39720777493469	1.72642425995914	0.727877847412336	-3.00588296667883	3.13778191175095	-1.04433695918753	1.23519116975955	-0.552406356578379	-1.85619972668041	2.16247866426989	0.909901014722288	1.13640655782645	1.78880598833679	1.76086141377107	-2.40038616669586	-2.26598498930801	0.674784197631403	1.23456027486556	-0.932593746105167	2.06228568973053	-1.13238790303009	1.67877143262171	-3.03242164656582	-3.31183013802713	-0.110380045954409	-2.32065770206462	3.61792837701878	-1.84275677054537	3.26042259581202	-2.70146256698338	-1.15503897430927	1.82483378890564	1.71431055759318	-2.23544820775147	-1.34436816435796	1.95105170616509	-0.895757462986339	0.0504331857237359	-1.80076233839009	-2.59968515187523	2.8731823376037	1.03529478109508	-0.505555488286377	-0.69011741891225	-2.42845170487484	-1.52806457334318	-0.94580763623245	-1.4785909674585	-2.80248086658044	1.08445584491598	-1.07217355178862	4.3816882167139	3.99969015565783	-0.202793728788429	1.17540270995789
"M300705"	0.993847308360944	-1.45125925730609	0.861038003620098	0.759933064497101	0.878651478359634	2.16436790907849	2.46973011929392	-1.29901422860958	0.835603643347341	0.481470152333364	3.37583959821297	2.86892117444654	-1.51235499129233	3.48474865935124	-0.761563521818172	1.10707862961222	-2.08749330332089	0.940824093801319	-2.61358995305338	1.05486658204714	-1.9167562827166	1.13783635978669	0.473524665432031	1.24408223472883	-2.11213714716182	-3.33445718209409	-2.21998778318041	-2.6351458868639	-2.97007958109739	1.48483641322325	-1.02921260841195	2.81768686233449	1.16792239758213	-1.10642713589127	0.726496087573811	1.14385810944909	-0.77297209085619	0.86668609732437	2.75758318589973	-3.58772922915724	2.06551069883901	1.06256755317383	-3.19640442090138	2.8339571884804	-1.23485841341008	1.17901345053775	-0.696559925504848	-2.04672118090296	2.26160619780993	-0.759969851948265	1.5678445343218	1.74625030271119	1.10085326541598	-2.59090762091841	-2.45650644353056	1.62754900500596	1.09019744578805	-1.12311520032772	1.84543982354178	-1.27654147195656	1.48744794663313	-3.22294310078837	-3.50235159224968	-0.300901500176959	-2.51117915628717	3.16968846251788	-2.03327822476792	3.25593272420917	-2.89198402120593	-1.34556042853182	1.91221266596355	2.38499598973355	-2.42596966197402	-1.53488961858051	1.72475343088454	-1.08627891720889	0.841582802771085	-1.99128379261264	-2.79020660609778	2.75668809144482	0.876332239681477	-0.696076942508927	-0.880638873134799	-2.61897315909739	-1.71858602756572	-1.08996120515892	-1.66911242168105	-2.99300232080299	1.53660553219307	1.44654773830029	3.42405771106487	3.22413231896688	0.565629968166923	1.01011236480991
"M300706"	0.559308160826462	-1.37519542749931	1.11384098330642	1.12047946253171	0.676998114365382	2.19351288508113	2.28517885207535	-1.2229503988028	0.866753397806743	0.705421083420964	3.39100947653798	3.01379162187969	-1.44141713026739	3.57181696008533	0.446764215224087	0.789192201618527	-2.01142947351411	1.22514254259924	-2.53752612324661	0.752645592424173	-1.84069245290982	-1.01980455994905	-0.288092470721728	0.658830643062136	-2.03607331735504	-3.25839335228731	-2.14392395337363	-2.55908205705712	-2.89401575129061	1.34140103594643	-0.953148778605172	2.70555793390589	0.965724645519128	-1.03548927486633	0.805973506220457	0.748841555754654	0.667406551832377	-0.167597919495993	3.33090581935363	-3.51166539935046	2.02451094107018	1.27739308683246	-3.1203405910946	2.82503066757755	-1.1587945836033	1.01902412802625	-0.625622064479904	-1.97065735109618	2.5056782258305	-0.683906022141487	1.20356337764833	2.2390417696429	1.07032856986821	-2.51484379111164	-2.38044261372378	1.70619063835932	0.814698648366314	-1.04705137052094	1.99829994920892	0.807995769640675	1.42880867991959	-3.14687927098159	-3.4262877624429	-0.224837670370182	-2.43511532648039	3.30601495482361	-1.95721439496114	2.8801138405555	-2.81592019139915	-1.26949659872505	1.61558269002204	2.04979050957008	-2.34990583216725	-1.45882578877373	1.75182207714488	-1.01021508740211	0.836584239843138	-1.91521996280586	-2.714142776291	2.8479414649244	-0.22489878951525	-0.620013112702149	-0.804575043328022	-2.54290932929061	-1.64252219775895	-1.01902334413398	-1.59304859187427	-2.91693849099621	1.47855936205331	-1.14538925969014	3.76098313203839	3.70123541207661	0.937266418695219	1.008579255338
"M300707"	0.647544176421378	-1.60770674150353	0.475857163013256	0.884573983649341	0.735674591185343	1.90725561504286	2.13653773094345	-0.0729582524616799	0.817031334817401	0.511510092439258	3.35587521606791	2.86558687434449	0.0909749847153778	3.38304479007776	0.532277024585965	0.984892644218685	-2.24394078751833	0.656360591541583	-2.77003743725082	0.673958636085142	-2.07320376691404	2.11463819460045	0.0419224166415848	0.687383863985722	-2.26858463135926	-3.49090466629153	-2.37643526737785	-2.79159337106133	-3.12652706529483	1.23636634024057	0.455445699072728	2.67486243273579	0.997378320460919	0.157915165107285	0.434434203726324	0.368172430129468	-0.137581231932757	0.915527452389024	3.70217869234665	-3.74417671335467	1.67568935311227	0.908655230476768	-3.35285190509882	2.665734897136	-1.39130589760751	0.996449671783147	0.997361298263225	-2.20316866510039	2.44868945678767	-0.916417336145702	1.0454657615982	1.48538634008443	0.995439847013125	-2.74735510511585	-2.612953927728	1.40731589254838	0.846886499423396	-1.27956268452515	1.65718172241417	0.0510246554599076	1.52256579431919	-3.37939058498581	-3.65879907644712	0.130951798149114	-2.66762664048461	3.14785454235828	-2.18972570896536	2.8426409581327	-3.04843150540336	-1.50200791272926	1.24425580814681	2.23691843260784	-2.58241714617146	-1.69133710277795	1.42349822609545	-1.24272640140633	0.326247131252339	-2.14773127681008	-2.94665409029522	2.50530624472201	1.11909315687173	0.205481046858102	0.0932909814208962	-2.77542064329482	-1.87503351176316	-0.0297694717892707	-1.82555990587848	-3.14944980500043	1.22254632088008	0.245284493838819	3.43598694235301	3.67811239317538	0.419572951139904	0.493277728836678
"M300708"	0.781758500396809	-0.759682400079054	0.78233889588757	0.703720477057437	0.476482399475849	1.87305961431135	1.75571637401985	-0.588345814496304	0.506105154372254	0.292948742125644	3.14741511585354	2.85973714167159	-0.165497607819891	3.16161949569479	0.149138439076536	0.823198821629921	-0.341819868459689	0.0649136699945547	-3.08681780339824	0.541944783923153	-2.38998413306145	0.937148042745799	-0.024705520000361	0.771673789716788	-2.58536499750667	-3.80768503243894	-2.69321563352526	-3.10837373720875	-3.44330743144224	1.10853617233087	0.363322782933677	2.57419060651614	0.876077629281484	-0.257525052852055	0.597102130485281	0.36908299428192	0.371496096204871	0.745935031192912	2.91583567945655	-4.06095707950209	1.67620627173714	0.92755915900736	-3.66963227124623	2.41773283911878	-1.70808626375493	0.553237444939476	-0.233525303245393	-0.307632047142127	2.38264726524101	-0.119043442624436	1.60898139322981	1.84308317431541	0.881091209926063	-0.71202998772398	-2.92973429387541	1.38275993941483	0.719059837274063	-0.066425479900647	1.50447243310383	-0.151360643748304	1.40310786914472	-3.69617095113322	-3.97557944259453	0.0106736103355951	-2.98440700663202	2.91216873778895	-2.50650607511277	2.92944097255231	-3.36521187155078	-1.81878827887668	1.84259247793786	2.27765698603905	-2.89919751231888	-0.192267508276874	1.45502523464432	-1.55950676755374	0.762043287943828	-0.530642778739312	-3.26343445644263	2.5139729355449	0.928192503742707	-0.235782562067474	-0.168053631174759	-3.09220100944224	-2.19181387791058	0.611763597839132	-0.39105878358968	-3.46623017114784	1.36607327442799	0.76869595511332	3.2640763248031	3.81867810317768	0.787615122078464	0.448497988557684
"M300711"	-0.00262266110206877	-0.554577032086305	1.26219986690656	0.516178044924104	0.635145243215422	1.85725854897443	2.82150914895871	-0.398699411256799	0.692320427370952	-0.000305394426395544	2.90712527902277	2.70516970534724	-0.243211767545541	3.23949680688564	-0.0870087017226098	0.966990667044145	-0.280690949544244	0.692174932762848	-2.97398835921686	0.576500071007944	-0.51009437864771	0.69419959463218	-0.052707720730262	1.05372279820551	-2.4725355533253	-3.69485558825757	-2.58038618934389	-2.99554429302738	-3.33047798726087	1.16587535248064	0.203477977273578	2.73036896841691	0.705877897084263	-0.900380623519919	0.46283732355048	0.571494612229881	-0.238121103473847	0.222605286524264	2.78254202365752	-3.94812763532072	1.65183294090086	0.646182322541907	-3.55680282706486	2.48595398225325	-0.165140364261418	0.810322043819048	2.70153171882828	-2.40711958706644	2.1985608463711	0.0849222018498095	1.94338111998276	2.08665475733677	0.859840787602141	-2.9513060270819	-2.81690484969404	1.30247945469649	0.756031756314008	-0.157659952013241	1.5028413449601	-0.179896442362307	1.42540698423095	-3.58334150695185	-3.86274999841316	-0.142307198376262	-2.87157756245065	2.99940120919215	-0.429661438090632	3.23563982336583	-3.2523824273694	-1.7059588346953	1.80844145940093	2.09970866882518	-2.7863680681375	-0.160887533384486	1.26900785812997	-1.44667732337237	0.332445346761816	-2.35168219877612	-3.15060501226126	2.50299628514571	0.736864776937705	0.175346518092796	-0.472952499691314	-2.97937156526087	-2.07898443372921	0.2659593348118	-2.02951082784453	-3.35340072696647	1.11944215998159	-0.30738581982674	3.50755833325921	3.80318683445727	0.284837213249124	0.403121715176059
"M300712"	0.759133131058281	-0.621472073920192	0.902385765520313	0.691010088620516	0.557090836456212	1.86401447534867	1.57651774502814	-1.76975891482765	0.489079835616763	0.563613258275853	3.16691611705563	2.74334792503751	-1.63600405334849	3.15242914559363	0.406240899161888	0.810916231052524	-0.482188880622468	0.376689687690643	-3.08433463927146	0.738148734524299	-0.693535535028008	0.617204883691832	0.180958428747132	0.952176530985732	-2.5828818333799	-3.80520186831217	-2.69073246939849	-3.10589057308197	-3.44082426731546	1.15870442508842	0.152922145433608	2.64398454761666	0.745528049742086	-0.0233681164663899	0.634320403862525	0.546726343304612	0.285339267795266	0.497456200812982	2.86633654527335	-4.05847391537531	1.75178169553361	0.962673327305075	-3.66714910711946	2.47498722962	-0.147732399833857	1.10024854537253	0.191812087852619	-0.353784117421668	2.13037844177603	-0.0658522014439198	1.73154191482193	2.3554016372815	1.10669624802564	-3.06165230713649	-2.92725112974864	1.48919891130031	0.771480929251171	-0.246966455918616	1.43897440219435	-0.166935913826544	1.33672635724516	-3.69368778700645	-3.97309627846776	0.11777802710466	-2.98192384250525	2.79598621135585	-2.504022910986	3.08026228650535	-3.362728707424	-0.749125892853693	2.17948285204607	2.05769056650338	-2.8967143481921	-0.168513637727004	1.45475540830289	-0.454072124949398	0.602589262850898	-0.337151541234218	-3.26095129231586	2.5283715182854	0.721135592699	-0.0599120325694926	-0.271397730974646	-3.08971784531546	-2.1893307137838	-0.130983465965331	-2.13985710789912	-3.46374700702107	1.16028486423693	0.675938762760467	2.88536566113763	3.83950165879983	0.841733019432622	0.496955971991838
"M300714"	0.558711841808738	-1.74165535211971	0.953894638542249	0.216926239952725	0.685447380604054	1.80627353146901	3.04069853112904	-0.446339510407744	0.977336193475253	0.17690911917434	3.50611412983322	3.07917209907204	-1.51933809460122	3.32778893012671	0.278928962280253	1.06163789080394	-2.37788939813452	0.234618362164318	-2.90398604786701	0.817619923420762	-2.20715237753023	-1.09772552428288	0.0809801460861594	0.822500683321183	0.0684884986719059	-3.62485327690771	-2.51038387799404	-2.92554198167752	-0.46840298359775	1.1682375450848	0.319274992799333	2.49661983570037	1.16902380865039	0.286028352932953	0.723501103581567	0.806898538483217	0.754851053620999	0.614441671411742	3.07818682534953	-3.87812532397086	1.82765702595304	0.733868479925237	-3.48680051571501	2.70508662516397	-1.5252545082237	0.816637494698694	-0.703543028813731	-2.33711727571658	2.27509395352826	-0.122147285003757	1.39783866630363	1.90088819824416	0.857006156854835	-2.88130371573204	-2.74690253834419	2.05753084638819	0.831685011539129	0.11183368573864	1.73191129415278	-0.363481338830205	1.2009026503571	-3.513339195602	-3.7927476870633	0.150473985638613	-2.8015752511008	2.76401958661035	-2.32367431958154	2.77129096935085	-3.18238011601955	-1.63595652334545	1.70806866695279	2.1916913658563	-2.71636575678765	-0.161567034986368	1.35836477900384	-1.37667501202251	0.628244717336345	-2.28167988742627	-3.08060270091141	2.45840212398892	0.971801982001588	0.170723803663446	-0.132530975556217	-2.90936925391101	-2.00898212237935	0.998320482600087	-1.95950851649467	-3.28339841561662	1.4853902149627	-1.22331022402397	3.55260399999923	3.75184692194218	1.04513425505713	0.686178174936219
"M300715"	0.71719498360733	-0.356883715377039	1.94663547502517	0.818023335134485	0.773993511993717	1.8070715681745	1.22439626106601	-0.634319216399732	0.649880845049331	0.174257986256448	3.30373097448035	3.01797355392047	-1.55645641574893	3.24242640202408	0.239228646313713	0.887001261115985	-2.46476292333318	0.405815179483531	-2.99085957306568	0.658068319821459	-2.29402590272889	0.39683754405518	0.137250395444849	0.815045843328109	-2.48940676717411	-3.71172680210638	-2.5972574031927	-3.01241550687619	-3.34734920110968	1.15650099697053	0.247532881796826	2.63032624488214	0.780750305305193	-0.363652328683931	0.719558674655806	0.638321698151973	-0.178627513334807	0.656146932044096	3.29954038217295	-3.96499884916953	2.0115485330653	0.877104072912402	-3.57367404091367	2.60601462677238	-0.252632526521908	0.844091411946785	0.335272978786593	-2.42399080091525	2.24506074383311	-0.174292753586447	1.78670225727063	3.34868053255896	0.992076396021535	-2.96817724093071	-2.83377606354285	1.58320445227823	0.750684298696154	-0.159217590405762	1.63084892471001	0.0406034181107771	1.28633051009677	-3.60021272080066	-3.87962121226197	-0.0970097436191395	-2.88844877629946	2.76933594974007	-2.41054784478021	3.02603881985238	-3.26925364121822	-0.44846742709997	2.09796970215832	2.11509030494352	-2.80323928198632	-0.0732198021950845	1.39006146529232	-1.46354853722118	0.398777779364938	-2.36855341262493	-3.16747622611007	2.45855699388213	0.782033380682146	0.16067582887733	-0.431349389073425	-0.57257228969435	-2.09585564757802	0.154494291789367	-2.04638204169334	-3.37027194081528	1.11142572329553	1.53900428500502	2.84252318536475	3.55738421042908	0.534815630162318	0.714612160015982
"M300716"	0.802207108584113	-1.52427052966516	0.639507120651455	0.851916772550329	0.900811745390283	1.87662632296095	1.40831036932849	-1.37202550096865	0.538066451982422	0.526947355493485	3.22431125723794	2.89781327692923	-1.57652594702405	3.29226967414982	-0.825734477549888	1.12887571748863	-2.16050457567996	0.70215781998994	-2.68660122541246	0.674968022070497	-1.98976755507568	0.966152144034873	0.30040598633639	0.774076983138233	0.382835276712468	-3.40746845445317	-2.29299905553949	-2.70815715922297	-3.04309085345646	1.21986301606086	0.482887592645698	2.81811128532868	0.852121590704962	-1.17059809162299	0.499548659512804	0.763365463691319	0.38763944871426	0.617839189648723	3.348050704275	-3.66074050151631	1.96408409655839	1.06965713445648	-3.26941569326046	2.4453632567585	0.72347002228322	0.896289939178796	1.9033162673515	-2.11973245326203	2.50953663372696	0.204738490284895	1.79018353989684	1.69486084819235	0.97058819257374	-2.66391889327749	-2.52951771588964	1.46260129504375	0.605900650833131	-1.19612647268679	1.61683713632028	-1.34071242768827	1.18972451447567	-3.29595437314745	-3.57536286460876	-0.373912772536035	-2.58419042864625	2.82711851696178	-2.106289497127	3.18782673857514	-2.964995293565	-1.4185717008909	2.1684190609655	2.20590204407679	-2.4989809343331	-1.60790089093959	1.40316541092673	-1.15929018956796	1.01494893899816	-2.06429506497172	-2.86321787845686	2.54524169581678	1.04208433388801	-0.769088214868002	-0.953650145493875	-2.69198443145646	-1.7915972999248	0.5072940489944	-1.74212369404012	-3.06601359316207	1.31860568201591	-1.2804980764468	2.69747547285289	3.71782927365945	0.966274430360091	0.81880090579669
